Gene stable ID,Gene name,NCBI gene ID,UniProtKB/Swiss-Prot ID,RefSeq peptide ID
ENSMUSG00000064341,mt-Nd1,17716,P03888,NP_904328
ENSMUSG00000064345,mt-Nd2,17717,P03893,NP_904329
ENSMUSG00000064351,mt-Co1,17708,P00397,NP_904330
ENSMUSG00000064354,mt-Co2,17709,P00405,NP_904331
ENSMUSG00000064356,mt-Atp8,17706,P03930,NP_904332
ENSMUSG00000064357,mt-Atp6,17705,P00848,NP_904333
ENSMUSG00000064358,mt-Co3,17710,P00416,NP_904334
ENSMUSG00000064360,mt-Nd3,17718,P03899,NP_904335
ENSMUSG00000065947,mt-Nd4l,17720,P03903,NP_904336
ENSMUSG00000064363,mt-Nd4,17719,P03911,NP_904337
ENSMUSG00000064367,mt-Nd5,17721,P03921,NP_904338
ENSMUSG00000064368,mt-Nd6,17722,P03925,NP_904339
ENSMUSG00000064370,mt-Cytb,17711,P00158,NP_904340
ENSMUSG00000078254,Krtap29-1,,A2A5X4,
ENSMUSG00000044814,Olfr543,257947,,
ENSMUSG00000044537,Olfr779,,,
ENSMUSG00000043948,Olfr691,259063,,
ENSMUSG00000100231,Gm29554,,,
ENSMUSG00000033508,Asprv1,67855,Q09PK2,NP_080690
ENSMUSG00000114755,Galr3,14429,O88853,NP_056553
ENSMUSG00000049530,Clrn2,624224,,NP_001156789
ENSMUSG00000044537,Olfr779,,,
ENSMUSG00000043948,Olfr691,259063,,NP_667272
ENSMUSG00000054667,Irs4,16370,Q9Z0Y7,NP_034702
ENSMUSG00000044814,Olfr543,257947,,NP_001011782
ENSMUSG00000048138,Dmrt2,226049,Q8BG36,NP_665830
ENSMUSG00000042462,Dctpp1,66422,Q9QY93,NP_075692
ENSMUSG00000090291,Lrrc10b,278795,,NP_001104610
ENSMUSG00000078253,Krtap16-1,100504183,A2A5X5,NP_001242986
ENSMUSG00000078670,Fam174b,100038347,Q8K064,NP_001156004
ENSMUSG00000073906,Olfr692,258352,,NP_666467
ENSMUSG00000073906,Olfr692,258352,,
ENSMUSG00000078670,Fam174b,100038347,,
ENSMUSG00000019851,Perp,64058,Q9JK95,NP_071315
ENSMUSG00000020803,Txndc17,52700,Q9CQM5,NP_080835
ENSMUSG00000078605,E030025P04Rik,,,
ENSMUSG00000094735,Vmn1r95,100312475,,NP_001161010
ENSMUSG00000042213,Zfand4,67492,,
ENSMUSG00000030124,Lag3,16768,Q61790,NP_032505
ENSMUSG00000059423,Zfp933,242747,,NP_001342659
ENSMUSG00000059423,Zfp933,242747,,NP_941021
ENSMUSG00000017311,Pyy,217212,,NP_001333700
ENSMUSG00000059423,Zfp933,242747,,
ENSMUSG00000042213,Zfand4,67492,,
ENSMUSG00000106893,Vmn1r-ps7,,,
ENSMUSG00000049091,Sephs2,20768,P97364,NP_033292
ENSMUSG00000075197,Olfr1046,258575,,
ENSMUSG00000075197,Olfr1046,258575,,NP_666793
ENSMUSG00000115072,Vmn1r2,100312470,,
ENSMUSG00000017311,Pyy,217212,Q9EPS2,NP_663410
ENSMUSG00000115072,Vmn1r2,100312470,,NP_001161006
ENSMUSG00000075196,Olfr1047,259014,,
ENSMUSG00000017311,Pyy,217212,,
ENSMUSG00000075196,Olfr1047,259014,,NP_667223
ENSMUSG00000075700,Selenot,69227,P62342,NP_001035486
ENSMUSG00000020080,Hkdc1,216019,Q91W97,NP_663394
ENSMUSG00000043925,Olfr544,257926,,NP_064685
ENSMUSG00000042213,Zfand4,67492,D3Z3C6,NP_001277267
ENSMUSG00000042213,Zfand4,67492,D3Z3C6,NP_001296375
ENSMUSG00000044912,Syt16,238266,Q7TN83,NP_766392
ENSMUSG00000042213,Zfand4,67492,,
ENSMUSG00000006378,Gcat,26912,O88986,NP_038875
ENSMUSG00000042213,Zfand4,67492,,NP_001277268
ENSMUSG00000061614,Olfr845,258249,,
ENSMUSG00000006378,Gcat,26912,,
ENSMUSG00000044912,Syt16,238266,,NP_001351211
ENSMUSG00000061614,Olfr845,258249,,
ENSMUSG00000042213,Zfand4,67492,,
ENSMUSG00000037661,Gpr160,71862,Q3U3F9,NP_001344073
ENSMUSG00000037661,Gpr160,71862,Q3U3F9,NP_001273923
ENSMUSG00000037661,Gpr160,71862,Q3U3F9,NP_001127857
ENSMUSG00000061614,Olfr845,258249,,NP_997028
ENSMUSG00000044912,Syt16,238266,,
ENSMUSG00000034738,Nostrin,329416,Q6WKZ7,NP_853525
ENSMUSG00000028337,Coro2a,107684,,NP_849224
ENSMUSG00000042213,Zfand4,67492,,
ENSMUSG00000105078,Vamp9,102639650,,
ENSMUSG00000030122,Ptms,69202,Q9D0J8,NP_081264
ENSMUSG00000037661,Gpr160,71862,Q3U3F9,NP_001344073
ENSMUSG00000037661,Gpr160,71862,Q3U3F9,NP_001273924
ENSMUSG00000028337,Coro2a,107684,Q8C0P5,NP_001158276
ENSMUSG00000037661,Gpr160,71862,Q3U3F9,NP_001344073
ENSMUSG00000037661,Gpr160,71862,Q3U3F9,NP_082241
ENSMUSG00000037661,Gpr160,71862,Q3U3F9,NP_001273925
ENSMUSG00000070891,Gm12689,,,
ENSMUSG00000044824,Olfr545,258837,,
ENSMUSG00000046761,Fam83h,105732,Q148V8,NP_001161725
ENSMUSG00000058692,Olfr846,258279,,
ENSMUSG00000037661,Gpr160,71862,,
ENSMUSG00000046761,Fam83h,105732,,
ENSMUSG00000044824,Olfr545,258837,,NP_667051
ENSMUSG00000058692,Olfr846,258279,,NP_666394
ENSMUSG00000116378,Gcat,26912,,NP_001155184
ENSMUSG00000115466,Vmn1r3,100312471,,NP_001161007
ENSMUSG00000115466,Vmn1r3,100312476,,NP_001161007
ENSMUSG00000037661,Gpr160,71862,Q3U3F9,NP_001344073
ENSMUSG00000046761,Fam83h,105732,Q148V8,NP_598848
ENSMUSG00000047181,Samd14,217125,Q8K070,NP_001351064
ENSMUSG00000047181,Samd14,217125,Q8K070,NP_666137
ENSMUSG00000050121,Opalin,226115,Q7M750,NP_705740
ENSMUSG00000037661,Gpr160,71862,,
ENSMUSG00000030086,Chchd6,66098,Q91VN4,NP_079627
ENSMUSG00000036572,Upf3b,68134,,NP_080849
ENSMUSG00000026622,Nek2,18005,O35942,NP_035022
ENSMUSG00000103290,Ighv1-23,,,
ENSMUSG00000105078,Vamp9,102639650,,
ENSMUSG00000037661,Gpr160,71862,Q3U3F9,NP_001344073
ENSMUSG00000037661,Gpr160,71862,Q3U3F9,NP_001127858
ENSMUSG00000021258,Ccnk,12454,,NP_033962
ENSMUSG00000036572,Upf3b,68134,,
ENSMUSG00000047980,Pate5,77080,,NP_084139
ENSMUSG00000029919,Hpgds,54486,Q9JHF7,NP_062328
ENSMUSG00000028337,Coro2a,107684,Q8C0P5,
ENSMUSG00000030086,Chchd6,66098,,
ENSMUSG00000047181,Samd14,217125,,
ENSMUSG00000001156,Mxd1,17119,,NP_034881
ENSMUSG00000059821,Olfr847,258518,,
ENSMUSG00000030086,Chchd6,66098,,NP_001161208
ENSMUSG00000059821,Olfr847,258518,,NP_666736
ENSMUSG00000021258,Ccnk,12454,,
ENSMUSG00000001156,Mxd1,17119,,
ENSMUSG00000087075,Lbhd2,380787,,NP_001345885
ENSMUSG00000087075,Lbhd2,380787,,NP_001094973
ENSMUSG00000102018,Iqank1,432964,,
ENSMUSG00000105078,Vamp9,102639650,,
ENSMUSG00000001156,Mxd1,17119,,
ENSMUSG00000039742,Fam71f1,330277,Q3UZD7,NP_997141
ENSMUSG00000102018,Iqank1,432964,,
ENSMUSG00000027166,Dnajc24,99349,Q91ZF0,NP_081268
ENSMUSG00000028593,9430007A20Rik,381572,Q8BM81,NP_941064
ENSMUSG00000039742,Fam71f1,330277,,NP_001276593
ENSMUSG00000039742,Fam71f1,330277,,NP_001276594
ENSMUSG00000039742,Fam71f1,330277,,NP_001276592
ENSMUSG00000041961,Znrf3,407821,Q5SSZ7,NP_001074393
ENSMUSG00000028167,Bdh2,69772,,NP_001165526
ENSMUSG00000054484,Tmem62,96957,Q8BXJ9,NP_780494
ENSMUSG00000039742,Fam71f1,330277,,
ENSMUSG00000041961,Znrf3,407821,Q5SSZ7,NP_001277430
ENSMUSG00000027983,Cyp2u1,71519,Q9CX98,NP_082092
ENSMUSG00000070471,Erich6,545527,D3Z6S9,NP_001074731
ENSMUSG00000039742,Fam71f1,330277,,
ENSMUSG00000027166,Dnajc24,99349,,
ENSMUSG00000041961,Znrf3,407821,,
ENSMUSG00000028167,Bdh2,69772,Q8JZV9,NP_081484
ENSMUSG00000027983,Cyp2u1,71519,Q9CX98,
ENSMUSG00000054484,Tmem62,96957,,
ENSMUSG00000036218,Pdzrn4,239618,,NP_001158065
ENSMUSG00000028334,Nans,94181,Q99J77,NP_444409
ENSMUSG00000078506,Gm13124,627085,,NP_001079011
ENSMUSG00000054484,Tmem62,96957,,
ENSMUSG00000019194,Scn1b,20266,P97952,
ENSMUSG00000028451,1700022I11Rik,67317,,
ENSMUSG00000030774,Pak1,18479,,NP_001344293
ENSMUSG00000030774,Pak1,18479,,NP_001344294
ENSMUSG00000028451,1700022I11Rik,67317,,
ENSMUSG00000030774,Pak1,18479,,
ENSMUSG00000102388,Gm33815,,,
ENSMUSG00000028703,Lrrc41,230654,Q8K1C9,NP_705741
ENSMUSG00000028451,1700022I11Rik,67317,Q3V0E1,NP_080364
ENSMUSG00000070609,Aadacl4,435815,,NP_001074717
ENSMUSG00000030774,Pak1,18479,,NP_001344293
ENSMUSG00000030774,Pak1,18479,,NP_001344294
ENSMUSG00000030774,Pak1,18479,,NP_001344292
ENSMUSG00000030774,Pak1,18479,,NP_035165
ENSMUSG00000036915,Kirrel2,243911,Q7TSU7,NP_766486
ENSMUSG00000019194,Scn1b,20266,P97952,NP_035452
ENSMUSG00000036218,Pdzrn4,239618,,NP_001158066
ENSMUSG00000028451,1700022I11Rik,67317,,
ENSMUSG00000024411,Aqp4,11829,,
ENSMUSG00000036915,Kirrel2,243911,,
ENSMUSG00000025789,St8sia2,20450,O35696,NP_033207
ENSMUSG00000102388,Gm33815,,,
ENSMUSG00000036915,Kirrel2,243911,,
ENSMUSG00000025789,St8sia2,20450,,
ENSMUSG00000067684,Obp1a,18249,Q9D3H2,NP_032780
ENSMUSG00000090751,Vmn2r63,435975,,NP_001098530
ENSMUSG00000024411,Aqp4,11829,,NP_001304658
ENSMUSG00000024411,Aqp4,11829,,NP_033830
ENSMUSG00000090751,Vmn2r63,435975,,
ENSMUSG00000053211,Zfy1,22767,P10925,
ENSMUSG00000055415,Atp10b,319767,,NP_795973
ENSMUSG00000090751,Vmn2r63,435975,,
ENSMUSG00000026475,Rgs16,19734,P97428,NP_035397
ENSMUSG00000030774,Pak1,18479,,
ENSMUSG00000028999,Rint1,72772,,
ENSMUSG00000090751,Vmn2r63,435975,,
ENSMUSG00000055415,Atp10b,319767,,
ENSMUSG00000068149,Tex13c3,278255,,NP_997407
ENSMUSG00000053211,Zfy1,22767,P10925,NP_033596
ENSMUSG00000039853,Trim14,74735,Q8BVW3,
ENSMUSG00000046324,Ermp1,226090,Q3UVK0,NP_001074682
ENSMUSG00000024411,Aqp4,11829,P55088,
ENSMUSG00000032897,Nfyc,18046,P70353,NP_001344123
ENSMUSG00000032897,Nfyc,18046,P70353,NP_001344122
ENSMUSG00000032897,Nfyc,18046,P70353,NP_001264024
ENSMUSG00000032897,Nfyc,18046,P70353,NP_032718
ENSMUSG00000051730,Mettl5,75422,Q8K1A0,NP_083556
ENSMUSG00000036800,Fam135b,70363,Q9DAI6,NP_808487
ENSMUSG00000020387,Jade2,76901,Q6ZQF7,NP_955003
ENSMUSG00000020387,Jade2,76901,,
ENSMUSG00000100249,Btbd35f23,100861966,,NP_001257596
ENSMUSG00000032666,1700025G04Rik,69399,Q8K207,
ENSMUSG00000036432,Siah2,20439,Q06986,NP_033200
ENSMUSG00000051730,Mettl5,75422,,
ENSMUSG00000020658,Efr3b,668212,Q6ZQ18,NP_001075952
ENSMUSG00000022246,Rai14,75646,Q9EP71,NP_109615
ENSMUSG00000029867,Llcfc1,76606,Q9D9P8,NP_083947
ENSMUSG00000020658,Efr3b,668212,,
ENSMUSG00000022246,Rai14,75646,,NP_001343463
ENSMUSG00000062511,4930512M02Rik,102631730,,NP_001292072
ENSMUSG00000032897,Nfyc,18046,P70353,NP_001344123
ENSMUSG00000032897,Nfyc,18046,P70353,NP_001344122
ENSMUSG00000032897,Nfyc,18046,P70353,NP_001041633
ENSMUSG00000062103,Olfr924,404322,,
ENSMUSG00000032009,Sesn3,75747,,
ENSMUSG00000022246,Rai14,75646,Q9EP71,NP_001159880
ENSMUSG00000020387,Jade2,76901,Q6ZQF7,NP_001344517
ENSMUSG00000020658,Efr3b,668212,,
ENSMUSG00000036800,Fam135b,70363,,
ENSMUSG00000024411,Aqp4,11829,P55088,NP_001295575
ENSMUSG00000024411,Aqp4,11829,P55088,NP_001295570
ENSMUSG00000024411,Aqp4,11829,P55088,NP_001295573
ENSMUSG00000032666,1700025G04Rik,69399,Q8K207,NP_932107
ENSMUSG00000035441,Myo1d,338367,Q5SYD0,NP_796364
ENSMUSG00000024411,Aqp4,11829,P55088,NP_001295574
ENSMUSG00000032009,Sesn3,75747,,
ENSMUSG00000062103,Olfr924,404322,,NP_997443
ENSMUSG00000046324,Ermp1,226090,,
ENSMUSG00000020163,Uqcr11,66594,Q9CPX8,NP_079926
ENSMUSG00000032897,Nfyc,18046,P70353,NP_001344123
ENSMUSG00000032897,Nfyc,18046,P70353,NP_001344122
ENSMUSG00000032897,Nfyc,18046,P70353,NP_001344121
ENSMUSG00000035441,Myo1d,338367,Q5SYD0,
ENSMUSG00000024411,Aqp4,11829,P55088,NP_001295572
ENSMUSG00000028001,Fga,14161,E9PV24,NP_034326
ENSMUSG00000024411,Aqp4,11829,P55088,NP_001295571
ENSMUSG00000046324,Ermp1,226090,,
ENSMUSG00000032897,Nfyc,18046,,
ENSMUSG00000024411,Aqp4,11829,P55088,NP_001295576
ENSMUSG00000032897,Nfyc,18046,,
ENSMUSG00000024411,Aqp4,11829,,
ENSMUSG00000038733,Wdr26,226757,,
ENSMUSG00000032666,1700025G04Rik,69399,,
ENSMUSG00000095508,Gm20812,108168614,,
ENSMUSG00000095508,Gm20812,108168614,,
ENSMUSG00000009734,Pou6f2,218030,,NP_778171
ENSMUSG00000032897,Nfyc,18046,,
ENSMUSG00000038975,Rabggtb,19352,,
ENSMUSG00000063507,Gm1330,,,
ENSMUSG00000039853,Trim14,74735,Q8BVW3,NP_083353
ENSMUSG00000028001,Fga,14161,E9PV24,NP_001104518
ENSMUSG00000009734,Pou6f2,218030,,
ENSMUSG00000009734,Pou6f2,218030,,
ENSMUSG00000075156,Olfr1128,258346,,NP_666461
ENSMUSG00000063507,Gm1330,,,
ENSMUSG00000039853,Trim14,74735,Q8BVW3,
ENSMUSG00000032897,Nfyc,18046,P70353,NP_001344123
ENSMUSG00000032897,Nfyc,18046,P70353,NP_001344122
ENSMUSG00000038733,Wdr26,226757,,
ENSMUSG00000079521,Gm5938,546335,,NP_001079003
ENSMUSG00000032009,Sesn3,75747,Q9CYP7,NP_084537
ENSMUSG00000026248,Mrpl44,69163,Q9CY73,NP_001074679
ENSMUSG00000020160,Meis1,17268,Q60954,
ENSMUSG00000020160,Meis1,17268,,
ENSMUSG00000009734,Pou6f2,218030,,
ENSMUSG00000050953,Gja1,14609,P23242,NP_034418
ENSMUSG00000038733,Wdr26,226757,,
ENSMUSG00000020392,Cdkn2aipnl,52626,Q9D211,NP_084252
ENSMUSG00000050953,Gja1,14609,,
ENSMUSG00000020392,Cdkn2aipnl,52626,,
ENSMUSG00000038733,Wdr26,226757,,
ENSMUSG00000038733,Wdr26,226757,,
ENSMUSG00000050953,Gja1,14609,,
ENSMUSG00000020160,Meis1,17268,Q60954,NP_001180200
ENSMUSG00000050953,Gja1,14609,,
ENSMUSG00000032691,Nlrp3,216799,Q8R4B8,NP_001346567
ENSMUSG00000050953,Gja1,14609,,
ENSMUSG00000101860,Mindy4b-ps,,,
ENSMUSG00000101860,Mindy4b-ps,,,
ENSMUSG00000050953,Gja1,14609,P23242,
ENSMUSG00000038733,Wdr26,226757,Q8C6G8,NP_663489
ENSMUSG00000032680,6820408C15Rik,228778,,
ENSMUSG00000032691,Nlrp3,216799,,
ENSMUSG00000020160,Meis1,17268,,
ENSMUSG00000032691,Nlrp3,216799,Q8R4B8,NP_665826
ENSMUSG00000091618,H60c,670558,,
ENSMUSG00000039221,Rpl22l1,68028,Q9D7S7,NP_080793
ENSMUSG00000024842,Cabp4,73660,Q8VHC5,NP_653115
ENSMUSG00000091618,H60c,670558,B1B213,NP_001191845
ENSMUSG00000020121,Srgap1,117600,Q91Z69,NP_001229340
ENSMUSG00000020160,Meis1,17268,,
ENSMUSG00000028452,Vcp,269523,Q01853,NP_033529
ENSMUSG00000039221,Rpl22l1,68028,Q9D7S7,NP_001334155
ENSMUSG00000035451,Foxa1,15375,P35582,NP_032285
ENSMUSG00000067679,Obp1b,628991,A2AEP0,NP_001297257
ENSMUSG00000039221,Rpl22l1,68028,,
ENSMUSG00000020121,Srgap1,117600,,
ENSMUSG00000020160,Meis1,17268,Q60954,NP_034919
ENSMUSG00000044724,Gpr152,269053,Q8BXS7,NP_996856
ENSMUSG00000020121,Srgap1,117600,,NP_001074506
ENSMUSG00000096426,Btbd35f24,,,
ENSMUSG00000022574,Naprt,223646,Q8CC86,NP_766195
ENSMUSG00000022574,Naprt,223646,,
ENSMUSG00000042248,Cyp2c37,13096,P56654,NP_034131
ENSMUSG00000040029,Ipo8,320727,Q7TMY7,NP_001074582
ENSMUSG00000028999,Rint1,72772,Q8BZ36,NP_796297
ENSMUSG00000032680,6820408C15Rik,228778,,
ENSMUSG00000020189,Osbpl8,237542,B9EJ86,NP_780698
ENSMUSG00000040029,Ipo8,320727,,
ENSMUSG00000074647,Fam83c,71405,A2ARK0,NP_082064
ENSMUSG00000021770,Samd8,67630,Q9DA37,NP_080559
ENSMUSG00000055960,Skint4,320640,A7TZF3,
ENSMUSG00000101915,Gm28102,,,
ENSMUSG00000067925,Rtl8a,66158,,NP_077132
ENSMUSG00000028999,Rint1,72772,,
ENSMUSG00000059610,Olfr222,257962,,
ENSMUSG00000001134,Uxt,22294,Q9WTZ0,NP_038868
ENSMUSG00000028999,Rint1,72772,Q8BZ36,NP_001297396
ENSMUSG00000050107,Haspin,14841,,NP_034483
ENSMUSG00000059610,Olfr222,257962,,
ENSMUSG00000028248,Pnisr,66625,,NP_079945
ENSMUSG00000021770,Samd8,67630,,
ENSMUSG00000055960,Skint4,320640,A7TZF3,NP_001334109
ENSMUSG00000059610,Olfr222,257962,,NP_001011789
ENSMUSG00000021770,Samd8,67630,,NP_001346882
ENSMUSG00000021770,Samd8,67630,,NP_001346883
ENSMUSG00000028248,Pnisr,66625,,
ENSMUSG00000067924,Rtl8b,553127,,NP_001018073
ENSMUSG00000055960,Skint4,320640,A7TZF3,
ENSMUSG00000020189,Osbpl8,237542,,NP_001003717
ENSMUSG00000094319,Igkv4-54,,,
ENSMUSG00000094319,Igkv4-54,,,
ENSMUSG00000028702,Rad54l,19366,P70270,NP_001116431
ENSMUSG00000028702,Rad54l,19366,P70270,NP_001116430
ENSMUSG00000028248,Pnisr,66625,A2AJT4,NP_001356118
ENSMUSG00000020189,Osbpl8,237542,,
ENSMUSG00000022262,Dnah5,110082,Q8VHE6,NP_579943
ENSMUSG00000031482,Slc25a15,18408,Q9WVD5,NP_001345900
ENSMUSG00000031482,Slc25a15,18408,Q9WVD5,NP_851842
ENSMUSG00000045210,Vcpip1,70675,,NP_775619
ENSMUSG00000018654,Ikzf1,22778,,
ENSMUSG00000028702,Rad54l,19366,P70270,NP_033041
ENSMUSG00000055960,Skint4,320640,,NP_001334109
ENSMUSG00000055960,Skint4,320640,,NP_848901
ENSMUSG00000078252,Krtap17-1,77914,,NP_001093244
ENSMUSG00000094298,Gm6164,620574,,NP_001160625
ENSMUSG00000100296,Vmn1r205,171251,,NP_598978
ENSMUSG00000040029,Ipo8,320727,,
ENSMUSG00000040029,Ipo8,320727,,
ENSMUSG00000068882,Ssb,20823,P32067,NP_001342194
ENSMUSG00000068882,Ssb,20823,P32067,NP_001103615
ENSMUSG00000101578,Vmn1r206,171250,,
ENSMUSG00000028248,Pnisr,66625,,
ENSMUSG00000036087,Slain2,75991,Q8CI08,NP_001106894
ENSMUSG00000051736,Fam229b,66337,Q8CF36,NP_001346370
ENSMUSG00000067225,Cyp2c54,404195,Q6XVG2,NP_996260
ENSMUSG00000101578,Vmn1r206,171250,,NP_598977
ENSMUSG00000081607,Gm15294,,,
ENSMUSG00000068882,Ssb,20823,,
ENSMUSG00000068882,Ssb,20823,,
ENSMUSG00000051736,Fam229b,66337,Q8CF36,NP_001346369
ENSMUSG00000078505,Gm436,230890,,NP_001078973
ENSMUSG00000020528,Prpsap2,212627,Q8R574,NP_001351015
ENSMUSG00000020528,Prpsap2,212627,Q8R574,NP_001351016
ENSMUSG00000020528,Prpsap2,212627,Q8R574,NP_001157715
ENSMUSG00000020528,Prpsap2,212627,Q8R574,NP_659055
ENSMUSG00000051736,Fam229b,66337,Q8CF36,
ENSMUSG00000095753,Igkv4-53,,,
ENSMUSG00000030613,Ccdc90b,66365,Q8C3X2,NP_079791
ENSMUSG00000036087,Slain2,75991,Q8CI08,NP_705795
ENSMUSG00000095753,Igkv4-53,,,
ENSMUSG00000051736,Fam229b,66337,Q8CF36,
ENSMUSG00000068882,Ssb,20823,,
ENSMUSG00000030613,Ccdc90b,66365,Q8C3X2,NP_001156390
ENSMUSG00000051736,Fam229b,66337,Q8CF36,NP_001346371
ENSMUSG00000039795,Zfand1,66361,Q8BFR6,NP_001317942
ENSMUSG00000039795,Zfand1,66361,Q8BFR6,NP_079788
ENSMUSG00000036087,Slain2,75991,,
ENSMUSG00000094993,Igkv4-51,,,
ENSMUSG00000020528,Prpsap2,212627,Q8R574,NP_001351015
ENSMUSG00000020528,Prpsap2,212627,Q8R574,NP_001351016
ENSMUSG00000020528,Prpsap2,212627,Q8R574,NP_001157716
ENSMUSG00000020528,Prpsap2,212627,Q8R574,NP_001157714
ENSMUSG00000068882,Ssb,20823,P32067,NP_033304
ENSMUSG00000009406,Elk1,13712,P41969,NP_031948
ENSMUSG00000026073,Il1r2,16178,,
ENSMUSG00000039795,Zfand1,66361,,
ENSMUSG00000020056,Washc3,67282,Q9CR27,NP_080346
ENSMUSG00000054672,5830411N06Rik,244234,,NP_001121618
ENSMUSG00000076562,Igkv4-50,,,
ENSMUSG00000021768,Dusp13,27389,Q9QYJ7,
ENSMUSG00000051736,Fam229b,66337,Q8CF36,NP_899077
ENSMUSG00000051736,Fam229b,66337,Q8CF36,
ENSMUSG00000048806,Ifnb1,15977,P01575,NP_034640
ENSMUSG00000020056,Washc3,67282,,
ENSMUSG00000051736,Fam229b,66337,Q8CF36,NP_001346372
ENSMUSG00000040456,Hypm,67334,Q9CR04,NP_080372
ENSMUSG00000039795,Zfand1,66361,,
ENSMUSG00000051736,Fam229b,66337,,NP_001346373
ENSMUSG00000039795,Zfand1,66361,,
ENSMUSG00000054672,5830411N06Rik,244234,,NP_001121617
ENSMUSG00000032680,6820408C15Rik,228778,,NP_001276667
ENSMUSG00000032680,6820408C15Rik,228778,,NP_808324
ENSMUSG00000020056,Washc3,67282,,NP_001116432
ENSMUSG00000005686,Ampd3,11717,O08739,NP_001263230
ENSMUSG00000047735,Samd9l,209086,,NP_034286
ENSMUSG00000048994,H2al3,385317,,NP_083505
ENSMUSG00000095896,Ifna14,404549,,NP_996858
ENSMUSG00000070868,Skint3,195564,A7TZF0,NP_808246
ENSMUSG00000096011,Ifna15,242517,,NP_996753
ENSMUSG00000006386,Tek,21687,,NP_001277480
ENSMUSG00000067525,Olfr1427,258674,,
ENSMUSG00000095270,Ifna9,15972,P09235,NP_034637
ENSMUSG00000005686,Ampd3,11717,,
ENSMUSG00000067525,Olfr1427,258674,,
ENSMUSG00000070868,Skint3,195564,A7TZF0,NP_001095944
ENSMUSG00000047735,Samd9l,209086,,
ENSMUSG00000021768,Dusp13,27389,Q9QYJ7,
ENSMUSG00000067525,Olfr1427,258674,,NP_666890
ENSMUSG00000022235,Cmbl,69574,,
ENSMUSG00000020056,Washc3,67282,,NP_081763
ENSMUSG00000035592,Krt33a,71888,Q8K0Y2,NP_082259
ENSMUSG00000027613,Eif6,16418,O55135,NP_034709
ENSMUSG00000023307,March5,69104,Q3KNM2,NP_081590
ENSMUSG00000022235,Cmbl,69574,,
ENSMUSG00000026073,Il1r2,16178,P27931,NP_034685
ENSMUSG00000005686,Ampd3,11717,O08739,NP_033797
ENSMUSG00000020056,Washc3,67282,,
ENSMUSG00000022235,Cmbl,69574,Q8R1G2,NP_853619
ENSMUSG00000026073,Il1r2,16178,,NP_001347730
ENSMUSG00000023307,March5,69104,,NP_001157808
ENSMUSG00000027613,Eif6,16418,,
ENSMUSG00000026073,Il1r2,16178,,
ENSMUSG00000005686,Ampd3,11717,,
ENSMUSG00000021768,Dusp13,27389,,
ENSMUSG00000022235,Cmbl,69574,,
ENSMUSG00000023307,March5,69104,,
ENSMUSG00000005686,Ampd3,11717,,
ENSMUSG00000006386,Tek,21687,,NP_038718
ENSMUSG00000021768,Dusp13,27389,,
ENSMUSG00000026771,Spopl,76857,Q2M2N2,NP_001159469
ENSMUSG00000026771,Spopl,76857,Q2M2N2,NP_001159470
ENSMUSG00000026771,Spopl,76857,Q2M2N2,NP_084049
ENSMUSG00000005686,Ampd3,11717,,
ENSMUSG00000021768,Dusp13,27389,,NP_038877
ENSMUSG00000005621,Zfp592,233410,Q8BHZ4,NP_848822
ENSMUSG00000049972,Skint9,329918,A7TZG3,NP_808532
ENSMUSG00000006386,Tek,21687,Q02858,NP_001277478
ENSMUSG00000027613,Eif6,16418,,
ENSMUSG00000030788,Rnf141,67150,,
ENSMUSG00000027613,Eif6,16418,,
ENSMUSG00000018654,Ikzf1,22778,,
ENSMUSG00000033287,Kctd17,72844,,NP_001276600
ENSMUSG00000026771,Spopl,76857,,
ENSMUSG00000024729,1700017D01Rik,69369,,NP_081334
ENSMUSG00000026771,Spopl,76857,,
ENSMUSG00000027613,Eif6,16418,,
ENSMUSG00000038267,Slc22a23,73102,,
ENSMUSG00000033287,Kctd17,72844,,NP_001276601
ENSMUSG00000024772,Ehd1,13660,Q9WVK4,NP_034249
ENSMUSG00000026771,Spopl,76857,,
ENSMUSG00000040170,Fmo2,55990,Q8K2I3,NP_001347842
ENSMUSG00000040170,Fmo2,55990,Q8K2I3,NP_001347843
ENSMUSG00000040170,Fmo2,55990,Q8K2I3,NP_061369
ENSMUSG00000024518,Rax,19434,,
ENSMUSG00000038267,Slc22a23,73102,Q3UHH2,NP_001028339
ENSMUSG00000018654,Ikzf1,22778,,NP_001288795
ENSMUSG00000018654,Ikzf1,22778,,NP_033604
ENSMUSG00000018654,Ikzf1,22778,,NP_001288794
ENSMUSG00000033287,Kctd17,72844,,
ENSMUSG00000018654,Ikzf1,22778,,
ENSMUSG00000038498,Catsper1,225865,Q91ZR5,NP_647462
ENSMUSG00000094905,Vmn1r155,667530,,NP_001160225
ENSMUSG00000018654,Ikzf1,22778,,
ENSMUSG00000073643,Wdfy1,69368,E9Q4P1,NP_001104749
ENSMUSG00000033287,Kctd17,72844,,NP_001276602
ENSMUSG00000038498,Catsper1,225865,,
ENSMUSG00000040170,Fmo2,55990,Q8K2I3,
ENSMUSG00000021768,Dusp13,27389,,
ENSMUSG00000038267,Slc22a23,73102,,
ENSMUSG00000018654,Ikzf1,22778,,NP_001288797
ENSMUSG00000018654,Ikzf1,22778,,NP_001020768
ENSMUSG00000018654,Ikzf1,22778,,NP_001288792
